Item,品項
Employee,員工
User,使用者
Role,角色
Permission,權限
Settings,設定
Configuration,配置
System,系統
Profile,個人資料
Password,密碼
Login,登入
Logout,登出
Dashboard,儀表板
Reports,報表
Analytics,分析
Help,說明
About,關於
Version Info,版本資訊
